tree,branch
DDQCDGJets/srbbgg;1,sublead_pt_over_diphoton_mass
DDQCDGJets/srbbgg;1,lead_pt_over_dibjet_mass
DDQCDGJets/srbbgg;1,sublead_pt_over_dibjet_mass
DDQCDGJets/srbbgg;1,diphoton_bbgg_mass
DDQCDGJets/srbbgg;1,dibjet_bbgg_mass
DDQCDGJets/srbbgg;1,lead_pho_mvaID_WP90
DDQCDGJets/srbbgg;1,lead_pho_mvaID_WP80
DDQCDGJets/srbbgg;1,sublead_pho_mvaID_WP90
DDQCDGJets/srbbgg;1,sublead_pho_mvaID_WP80
DDQCDGJets/srbbgg;1,lead_pho_mvaID
DDQCDGJets/srbbgg;1,sublead_pho_mvaID
DDQCDGJets/srbbgg;1,max_gamma_MVA_ID
DDQCDGJets/srbbgg;1,preselection
DDQCDGJets/srbbgg;1,selection
DDQCDGJets/srbbgg;1,srbbgg
DDQCDGJets/srbbgg;1,srbbggMET
DDQCDGJets/srbbgg;1,crbbantigg
DDQCDGJets/srbbgg;1,crantibbgg
DDQCDGJets/srbbgg;1,crantibbantigg
DDQCDGJets/srbbgg;1,sideband
DDQCDGJets/srbbgg;1,idmva_sideband
DDQCDGJets/srbbgg;1,idmva_presel
DDQCDGJets/srbbgg;1,DeltaR_j1g1
DDQCDGJets/srbbgg;1,DeltaR_j2g1
DDQCDGJets/srbbgg;1,DeltaR_j1g2
DDQCDGJets/srbbgg;1,DeltaR_j2g2
DDQCDGJets/srbbgg;1,signal
DDQCDGJets/srbbgg;1,isdata
DDQCDGJets/srbbgg;1,isdd
DDQCDGJets/srbbgg;1,run
DDQCDGJets/srbbgg;1,lumi
DDQCDGJets/srbbgg;1,event
DDQCDGJets/srbbgg;1,weight_preselection
DDQCDGJets/srbbgg;1,weight_selection
DDQCDGJets/srbbgg;1,weight_srbbgg
DDQCDGJets/srbbgg;1,weight_srbbggMET
DDQCDGJets/srbbgg;1,weight_crbbantigg
DDQCDGJets/srbbgg;1,weight_crantibbgg
DDQCDGJets/srbbgg;1,weight_crantibbantigg
DDQCDGJets/srbbgg;1,weight_sideband
DDQCDGJets/srbbgg;1,weight_idmva_sideband
DDQCDGJets/srbbgg;1,weight_idmva_presel
