,lead_eta,lead_phi,sublead_eta,sublead_phi,Res_dijet_eta,Res_dijet_phi,Res_HHbbggCandidate_eta,Res_HHbbggCandidate_phi,Res_HHbbggCandidate_pt,Res_DeltaR_jg_min,Res_CosThetaStar_gg,Res_CosThetaStar_jj,Res_CosThetaStar_CS,lead_mvaID,n_leptons,n_jets,puppiMET_pt,puppiMET_phi,Njets2p5,Res_DeltaPhi_j1MET,Res_DeltaPhi_j2MET,Res_chi_t0,Res_chi_t1,Res_dijet_pt,Res_pholead_PtOverM,Res_phosublead_PtOverM,Res_FirstJet_PtOverM,Res_SecondJet_PtOverM,sigma_m_over_m,lead_r9,sublead_r9,Res_lead_bjet_btagPNetB,Res_sublead_bjet_btagPNetB
Res_CosThetaStar_gg,0.0006523106640566905,-5.9019467033352894e-05,0.0033780526593995062,-0.0017197131195155597,0.9998874294494372,0.9998492767548701,0.9997574184973188,0.9998499347404424,0.6543744097808905,0.9999738375725725,1.0,0.999986819814706,0.9999811138907215,-0.002242971697841678,0.0011911990408615108,0.18567019618857294,0.007294052135339447,0.00464967383172232,0.18632333091499415,0.9998448190676239,0.9998676952632709,0.020245561525470558,0.014142407716586975,0.7400156697048377,0.9999879937176012,0.9999900397761653,0.0007738573434441233,-0.2028054408961673,0.00827875643040285,-0.0054810846620359155,-0.006321292839571851,0.9999901852262814,0.9999878636871261
Res_CosThetaStar_jj,0.0006831737926180968,-5.338143885502926e-05,0.003308432242931886,-0.0017363064154850842,0.9998845470768978,0.9998455282810421,0.9997541996277071,0.9998467878080733,0.6546659475166346,0.9999705454074919,0.999986819814706,1.0,0.9999778706232559,-0.00228708052114839,0.001199400310797128,0.18584645719072726,0.007366095769618584,0.004635646172011208,0.186289430076695,0.9998416213415062,0.9998645286899148,0.020285174997550122,0.014214220181913565,0.7405047918011634,0.9999816140058404,0.9999896212917885,0.001626844692035835,-0.20378304631466274,0.008393292028630343,-0.005489065454160507,-0.006283191764667194,0.9999867520953011,0.999983275248675
Res_CosThetaStar_CS,0.003032986239918749,-0.00011615941089938969,0.005397199871180718,-0.0017677608770416194,0.9998505689001501,0.9998410031214506,0.9997404987357185,0.9998405506287054,0.6543334628053913,0.9999657733017001,0.9999811138907215,0.9999778706232559,1.0,-0.0022088921017968358,0.0012085527625505367,0.18569556979283205,0.007306017186520072,0.004642111196613238,0.18632910175776593,0.999836153046713,0.9998593383809805,0.020243710164892174,0.014127978685703457,0.7399788443745537,0.9999750326756073,0.9999836668876675,0.000728260952168274,-0.20284330502422132,0.008416630183808123,-0.005509090065851377,-0.006313952964295027,0.9999812613952271,0.99997914528722
lead_mvaID,0.014518038842421862,0.005310616887233901,0.008829664639201772,-0.003359530016482875,-0.002204008349332987,-0.002234806550070601,-0.0021358427709730486,-0.002208343579446752,-0.016000076208300677,-0.0018723248963277322,-0.002242971697841678,-0.00228708052114839,-0.0022088921017968358,1.0,-0.003404397010716969,-0.02096938280374076,-0.04965090633856789,0.0005965037298617322,-0.01990753757620425,-0.0022067380519920185,-0.0022959774603450553,-0.0005529632127909981,-0.01260984362128916,-0.005643574288817502,-0.001932508056571193,-0.0021899310394491167,0.0238228342161774,0.03200450118565294,-0.1391169119168272,0.512308756614639,-0.0025444472013196723,-0.002271815863428291,-0.002221683384404402
n_leptons,8.818057078729816e-05,0.002905961687226603,0.0009676678854137965,-0.0001270230644594949,0.0012014061383284916,0.0012394839310012709,0.0012127664621855896,0.0012058797246431352,0.0008666821371364768,0.0012014381251579168,0.0011911990408615108,0.001199400310797128,0.0012085527625505367,-0.003404397010716969,1.0,0.004234092484019055,-0.003032361184238404,0.0018049481830836411,0.005287660451531029,0.001223773934453324,0.0011827060455211632,0.005742574485405872,-0.00046149575210956487,-0.002907937497000482,0.001203496390357881,0.0012106795787680863,-0.003629125502938348,-0.0038637684341917876,0.003619489445626722,-0.008668927189177012,-0.0008832275687072338,0.0012046358985274687,0.001203008787357684
n_jets,-0.003732548154827727,0.0015673970152497436,-0.002206066610424443,0.0011006905442653115,0.18563805008538045,0.18570217561708935,0.18568180037900575,0.18561696731176383,0.449745068413728,0.18442910303147086,0.18567019618857294,0.18584645719072726,0.18569556979283205,-0.02096938280374076,0.004234092484019055,1.0,0.09350121448666902,0.006430140815271402,0.8378857064179326,0.18563372085889124,0.185670341980767,0.10248776166079049,0.2860206765287397,0.23040819470375845,0.18556881861765878,0.1856526333928516,-0.03559296337946341,-0.1192757937651245,0.008156063971498975,-0.003985886484434733,-0.0037432290662262227,0.18586922571341824,0.1859968676343629
puppiMET_pt,-0.0025076468503726166,-0.0012593687468873,-0.001920092714650372,-0.004681526431783233,0.00724618641571907,0.007370021612991628,0.007321223153514753,0.007331884519265629,0.15450136022343466,0.006591350480579369,0.007294052135339447,0.007366095769618584,0.007306017186520072,-0.04965090633856789,-0.003032361184238404,0.09350121448666902,1.0,-0.0012232213018297628,0.0927032481015905,0.007304229618081231,0.00733890744916119,0.05021562374854795,0.059840733541645694,0.07058455927899251,0.007237603911709817,0.007279654380081451,-0.020082563298934666,-0.0327898051870828,0.045423565714425164,-0.011166574650977902,-0.0016144388296681462,0.007206658732943046,0.007201594133918374
puppiMET_phi,0.003740336217250575,-0.06120763737961457,0.004250154330392332,-0.04609965668431178,0.004670897615542751,0.005794461797503984,0.004731691435025492,0.003246627047049665,0.0018934262580536207,0.00464057526946323,0.00464967383172232,0.004635646172011208,0.004642111196613238,0.0005965037298617322,0.0018049481830836411,0.006430140815271402,-0.0012232213018297628,1.0,0.003757854286712338,0.0046451749271535945,0.004641623812652774,-0.0015738725207371355,0.0043071804891211315,0.0008554893819305388,0.00463837985792938,0.004640693063793991,-0.0003972410347014103,0.0017974503939220848,-0.001719381226287517,-0.00024346022683879021,0.0009758441149570359,0.004638491870549312,0.004649094999468668
Njets2p5,-0.0027841587632973833,-0.00022787819783106605,0.0022073541042194043,0.000922451558304659,0.18633108983257793,0.18639762756143877,0.18639694080412095,0.1862712004232613,0.456076708199257,0.18495905523835346,0.18632333091499415,0.186289430076695,0.18632910175776593,-0.01990753757620425,0.005287660451531029,0.8378857064179326,0.0927032481015905,0.003757854286712338,1.0,0.18627009934757802,0.1862991736798941,0.13057545075983704,0.2830451105371287,0.24948736506805935,0.1862391766627289,0.18630215189546562,-0.0841295503744614,-0.06722449078913559,0.004017540905692167,-0.0036475155065552457,-0.007806731595448794,0.18654137988750413,0.18690677335114386
Res_DeltaPhi_j1MET,0.0007549463143268574,2.8396489556543718e-05,0.003389827532288608,-0.0017679886703396497,0.9997432397777314,0.9997025525420982,0.9996129740253953,0.9997035253992913,0.6542274515288001,0.9998295409809718,0.9998448190676239,0.9998416213415062,0.999836153046713,-0.0022067380519920185,0.001223773934453324,0.18563372085889124,0.007304229618081231,0.0046451749271535945,0.18627009934757802,1.0,0.9996948074671564,0.020282271809865356,0.014064531728595547,0.739872153485077,0.9998383765537613,0.9998472357113631,0.0005871592501348794,-0.20285943954258046,0.008431236335348122,-0.005519581932822659,-0.006227911473729232,0.9998448800413026,0.9998427770010454
