category,value
Common columns (UP & DOWN),Res_lead_bjet_hFlav
Common columns (UP & DOWN),Res_lead_bjet_jet_idx
Common columns (UP & DOWN),Res_lead_bjet_mass
Common columns (UP & DOWN),Res_lead_bjet_phi
Common columns (UP & DOWN),Res_lead_bjet_pt
Common columns (UP & DOWN),Res_lead_bjet_pt_orig
Common columns (UP & DOWN),Res_lead_bjet_rawFactor
Common columns (UP & DOWN),Res_pholead_PtOverM
Common columns (UP & DOWN),Res_phosublead_PtOverM
Common columns (UP & DOWN),Res_sublead_bjet_PNetRegPtRawCorr
Common columns (UP & DOWN),Res_sublead_bjet_PNetRegPtRawCorrNeutrino
Common columns (UP & DOWN),Res_sublead_bjet_PNetRegPtRawRes
Common columns (UP & DOWN),Res_sublead_bjet_btagPNetB
Common columns (UP & DOWN),Res_sublead_bjet_charge
Common columns (UP & DOWN),Res_sublead_bjet_eta
Common columns (UP & DOWN),Res_sublead_bjet_genFlav
Common columns (UP & DOWN),Res_sublead_bjet_genMatched
Common columns (UP & DOWN),Res_sublead_bjet_hFlav
Common columns (UP & DOWN),Res_sublead_bjet_jet_idx
Common columns (UP & DOWN),Res_sublead_bjet_mass
Common columns (UP & DOWN),Res_sublead_bjet_phi
Common columns (UP & DOWN),Res_sublead_bjet_pt
Common columns (UP & DOWN),Res_sublead_bjet_pt_orig
Common columns (UP & DOWN),Res_sublead_bjet_rawFactor
Common columns (UP & DOWN),VBF_Cbb
Common columns (UP & DOWN),VBF_Cgg
Common columns (UP & DOWN),VBF_DeltaR_j1b1
Common columns (UP & DOWN),VBF_DeltaR_j1b2
Common columns (UP & DOWN),VBF_DeltaR_j1g1
Common columns (UP & DOWN),VBF_DeltaR_j1g2
Common columns (UP & DOWN),VBF_DeltaR_j2b1
Common columns (UP & DOWN),VBF_DeltaR_j2b2
Common columns (UP & DOWN),VBF_DeltaR_j2g1
Common columns (UP & DOWN),VBF_DeltaR_j2g2
Common columns (UP & DOWN),VBF_DeltaR_jb_min
Common columns (UP & DOWN),VBF_DeltaR_jg_min
Common columns (UP & DOWN),VBF_dijet_charge
Common columns (UP & DOWN),VBF_dijet_eta
Common columns (UP & DOWN),VBF_dijet_mass
Common columns (UP & DOWN),VBF_dijet_phi
Common columns (UP & DOWN),VBF_dijet_pt
Common columns (UP & DOWN),VBF_first_jet_PNetRegPtRawCorr
Common columns (UP & DOWN),VBF_first_jet_PNetRegPtRawCorrNeutrino
Common columns (UP & DOWN),VBF_first_jet_PNetRegPtRawRes
Common columns (UP & DOWN),VBF_first_jet_PtOverM
Common columns (UP & DOWN),VBF_first_jet_btagDeepFlav_QG
Common columns (UP & DOWN),VBF_first_jet_btagPNetB
Common columns (UP & DOWN),VBF_first_jet_btagPNetQvG
Common columns (UP & DOWN),VBF_first_jet_charge
Common columns (UP & DOWN),VBF_first_jet_eta
Common columns (UP & DOWN),VBF_first_jet_index
Common columns (UP & DOWN),VBF_first_jet_mass
Common columns (UP & DOWN),VBF_first_jet_phi
Common columns (UP & DOWN),VBF_first_jet_pt
Common columns (UP & DOWN),VBF_first_jet_pt_orig
Common columns (UP & DOWN),VBF_first_jet_rawFactor
Common columns (UP & DOWN),VBF_jet_eta_diff
Common columns (UP & DOWN),VBF_jet_eta_prod
Common columns (UP & DOWN),VBF_jet_eta_sum
Common columns (UP & DOWN),VBF_second_jet_PNetRegPtRawCorr
Common columns (UP & DOWN),VBF_second_jet_PNetRegPtRawCorrNeutrino
Common columns (UP & DOWN),VBF_second_jet_PNetRegPtRawRes
Common columns (UP & DOWN),VBF_second_jet_PtOverM
Common columns (UP & DOWN),VBF_second_jet_btagDeepFlav_QG
Common columns (UP & DOWN),VBF_second_jet_btagPNetB
Common columns (UP & DOWN),VBF_second_jet_btagPNetQvG
Common columns (UP & DOWN),VBF_second_jet_charge
Common columns (UP & DOWN),VBF_second_jet_eta
Common columns (UP & DOWN),VBF_second_jet_index
Common columns (UP & DOWN),VBF_second_jet_mass
Common columns (UP & DOWN),VBF_second_jet_phi
Common columns (UP & DOWN),VBF_second_jet_pt
Common columns (UP & DOWN),VBF_second_jet_pt_orig
Common columns (UP & DOWN),VBF_second_jet_rawFactor
Common columns (UP & DOWN),XtoYHto2B2G_MX
Common columns (UP & DOWN),XtoYHto2B2G_MY
Common columns (UP & DOWN),bTagWeight
Common columns (UP & DOWN),charge
Common columns (UP & DOWN),dZ
Common columns (UP & DOWN),eta
Common columns (UP & DOWN),event
Common columns (UP & DOWN),fatjet1_area
Common columns (UP & DOWN),fatjet1_btagDDBvLV2
Common columns (UP & DOWN),fatjet1_btagDDCvBV2
Common columns (UP & DOWN),fatjet1_btagDDCvLV2
Common columns (UP & DOWN),fatjet1_btagDeepB
Common columns (UP & DOWN),fatjet1_btagHbb
Common columns (UP & DOWN),fatjet1_eta
Common columns (UP & DOWN),fatjet1_genFlav
Common columns (UP & DOWN),fatjet1_genMatched
Common columns (UP & DOWN),fatjet1_genMatched_Hbb
Common columns (UP & DOWN),fatjet1_genjetAK8_eta
Common columns (UP & DOWN),fatjet1_genjetAK8_hadronFlavour
Common columns (UP & DOWN),fatjet1_genjetAK8_mass
Common columns (UP & DOWN),fatjet1_genjetAK8_partonFlavour
Common columns (UP & DOWN),fatjet1_genjetAK8_phi
Common columns (UP & DOWN),fatjet1_genjetAK8_pt
Common columns (UP & DOWN),fatjet1_hadronFlavour
Common columns (UP & DOWN),fatjet1_jetId
Common columns (UP & DOWN),fatjet1_mass
Common columns (UP & DOWN),fatjet1_msoftdrop
Common columns (UP & DOWN),fatjet1_n2b1
Common columns (UP & DOWN),fatjet1_n3b1
Common columns (UP & DOWN),fatjet1_nBHadrons
Common columns (UP & DOWN),fatjet1_nCHadrons
Common columns (UP & DOWN),fatjet1_nConstituents
Common columns (UP & DOWN),fatjet1_particleNetWithMass_HbbvsQCD
Common columns (UP & DOWN),fatjet1_particleNetWithMass_QCD
Common columns (UP & DOWN),fatjet1_particleNet_QCD
Common columns (UP & DOWN),fatjet1_particleNet_QCD0HF
Common columns (UP & DOWN),fatjet1_particleNet_QCD1HF
Common columns (UP & DOWN),fatjet1_particleNet_QCD2HF
Common columns (UP & DOWN),fatjet1_particleNet_XbbVsQCD
Common columns (UP & DOWN),fatjet1_particleNet_XccVsQCD
Common columns (UP & DOWN),fatjet1_particleNet_XggVsQCD
Common columns (UP & DOWN),fatjet1_particleNet_XqqVsQCD
Common columns (UP & DOWN),fatjet1_particleNet_massCorr
Common columns (UP & DOWN),fatjet1_phi
Common columns (UP & DOWN),fatjet1_pt
Common columns (UP & DOWN),fatjet1_pt_orig
Common columns (UP & DOWN),fatjet1_rawFactor
Common columns (UP & DOWN),fatjet1_subjet1_btagDeepB
Common columns (UP & DOWN),fatjet1_subjet1_eta
Common columns (UP & DOWN),fatjet1_subjet1_mass
Common columns (UP & DOWN),fatjet1_subjet1_phi
Common columns (UP & DOWN),fatjet1_subjet1_pt
Common columns (UP & DOWN),fatjet1_subjet1_rawFactor
Common columns (UP & DOWN),fatjet1_subjet2_btagDeepB
Common columns (UP & DOWN),fatjet1_subjet2_eta
Common columns (UP & DOWN),fatjet1_subjet2_mass
Common columns (UP & DOWN),fatjet1_subjet2_phi
Common columns (UP & DOWN),fatjet1_subjet2_pt
Common columns (UP & DOWN),fatjet1_subjet2_rawFactor
Common columns (UP & DOWN),fatjet1_tau1
Common columns (UP & DOWN),fatjet1_tau2
Common columns (UP & DOWN),fatjet1_tau3
Common columns (UP & DOWN),fatjet1_tau4
Common columns (UP & DOWN),fatjet2_area
Common columns (UP & DOWN),fatjet2_btagDDBvLV2
Common columns (UP & DOWN),fatjet2_btagDDCvBV2
Common columns (UP & DOWN),fatjet2_btagDDCvLV2
Common columns (UP & DOWN),fatjet2_btagDeepB
Common columns (UP & DOWN),fatjet2_btagHbb
Common columns (UP & DOWN),fatjet2_eta
Common columns (UP & DOWN),fatjet2_genFlav
Common columns (UP & DOWN),fatjet2_genMatched
Common columns (UP & DOWN),fatjet2_genMatched_Hbb
Common columns (UP & DOWN),fatjet2_genjetAK8_eta
Common columns (UP & DOWN),fatjet2_genjetAK8_hadronFlavour
Common columns (UP & DOWN),fatjet2_genjetAK8_mass
Common columns (UP & DOWN),fatjet2_genjetAK8_partonFlavour
Common columns (UP & DOWN),fatjet2_genjetAK8_phi
Common columns (UP & DOWN),fatjet2_genjetAK8_pt
Common columns (UP & DOWN),fatjet2_hadronFlavour
Common columns (UP & DOWN),fatjet2_jetId
Common columns (UP & DOWN),fatjet2_mass
Common columns (UP & DOWN),fatjet2_msoftdrop
Common columns (UP & DOWN),fatjet2_n2b1
Common columns (UP & DOWN),fatjet2_n3b1
Common columns (UP & DOWN),fatjet2_nBHadrons
Common columns (UP & DOWN),fatjet2_nCHadrons
Common columns (UP & DOWN),fatjet2_nConstituents
Common columns (UP & DOWN),fatjet2_particleNetWithMass_HbbvsQCD
Common columns (UP & DOWN),fatjet2_particleNetWithMass_QCD
Common columns (UP & DOWN),fatjet2_particleNet_QCD
Common columns (UP & DOWN),fatjet2_particleNet_QCD0HF
Common columns (UP & DOWN),fatjet2_particleNet_QCD1HF
Common columns (UP & DOWN),fatjet2_particleNet_QCD2HF
Common columns (UP & DOWN),fatjet2_particleNet_XbbVsQCD
Common columns (UP & DOWN),fatjet2_particleNet_XccVsQCD
Common columns (UP & DOWN),fatjet2_particleNet_XggVsQCD
Common columns (UP & DOWN),fatjet2_particleNet_XqqVsQCD
Common columns (UP & DOWN),fatjet2_particleNet_massCorr
Common columns (UP & DOWN),fatjet2_phi
Common columns (UP & DOWN),fatjet2_pt
Common columns (UP & DOWN),fatjet2_pt_orig
Common columns (UP & DOWN),fatjet2_rawFactor
Common columns (UP & DOWN),fatjet2_subjet1_btagDeepB
Common columns (UP & DOWN),fatjet2_subjet1_eta
Common columns (UP & DOWN),fatjet2_subjet1_mass
Common columns (UP & DOWN),fatjet2_subjet1_phi
Common columns (UP & DOWN),fatjet2_subjet1_pt
Common columns (UP & DOWN),fatjet2_subjet1_rawFactor
Common columns (UP & DOWN),fatjet2_subjet2_btagDeepB
Common columns (UP & DOWN),fatjet2_subjet2_eta
Common columns (UP & DOWN),fatjet2_subjet2_mass
Common columns (UP & DOWN),fatjet2_subjet2_phi
Common columns (UP & DOWN),fatjet2_subjet2_pt
Common columns (UP & DOWN),fatjet2_subjet2_rawFactor
Common columns (UP & DOWN),fatjet2_tau1
Common columns (UP & DOWN),fatjet2_tau2
Common columns (UP & DOWN),fatjet2_tau3
Common columns (UP & DOWN),fatjet2_tau4
Common columns (UP & DOWN),fatjet3_area
Common columns (UP & DOWN),fatjet3_btagDDBvLV2
Common columns (UP & DOWN),fatjet3_btagDDCvBV2
Common columns (UP & DOWN),fatjet3_btagDDCvLV2
Common columns (UP & DOWN),fatjet3_btagDeepB
Common columns (UP & DOWN),fatjet3_btagHbb
Common columns (UP & DOWN),fatjet3_eta
Common columns (UP & DOWN),fatjet3_genFlav
Common columns (UP & DOWN),fatjet3_genMatched
Common columns (UP & DOWN),fatjet3_genMatched_Hbb
Common columns (UP & DOWN),fatjet3_genjetAK8_eta
Common columns (UP & DOWN),fatjet3_genjetAK8_hadronFlavour
Common columns (UP & DOWN),fatjet3_genjetAK8_mass
Common columns (UP & DOWN),fatjet3_genjetAK8_partonFlavour
Common columns (UP & DOWN),fatjet3_genjetAK8_phi
Common columns (UP & DOWN),fatjet3_genjetAK8_pt
Common columns (UP & DOWN),fatjet3_hadronFlavour
Common columns (UP & DOWN),fatjet3_jetId
Common columns (UP & DOWN),fatjet3_mass
Common columns (UP & DOWN),fatjet3_msoftdrop
Common columns (UP & DOWN),fatjet3_n2b1
Common columns (UP & DOWN),fatjet3_n3b1
Common columns (UP & DOWN),fatjet3_nBHadrons
Common columns (UP & DOWN),fatjet3_nCHadrons
Common columns (UP & DOWN),fatjet3_nConstituents
Common columns (UP & DOWN),fatjet3_particleNetWithMass_HbbvsQCD
Common columns (UP & DOWN),fatjet3_particleNetWithMass_QCD
Common columns (UP & DOWN),fatjet3_particleNet_QCD
Common columns (UP & DOWN),fatjet3_particleNet_QCD0HF
Common columns (UP & DOWN),fatjet3_particleNet_QCD1HF
Common columns (UP & DOWN),fatjet3_particleNet_QCD2HF
Common columns (UP & DOWN),fatjet3_particleNet_XbbVsQCD
Common columns (UP & DOWN),fatjet3_particleNet_XccVsQCD
Common columns (UP & DOWN),fatjet3_particleNet_XggVsQCD
Common columns (UP & DOWN),fatjet3_particleNet_XqqVsQCD
Common columns (UP & DOWN),fatjet3_particleNet_massCorr
Common columns (UP & DOWN),fatjet3_phi
Common columns (UP & DOWN),fatjet3_pt
Common columns (UP & DOWN),fatjet3_pt_orig
Common columns (UP & DOWN),fatjet3_rawFactor
Common columns (UP & DOWN),fatjet3_subjet1_btagDeepB
Common columns (UP & DOWN),fatjet3_subjet1_eta
Common columns (UP & DOWN),fatjet3_subjet1_mass
Common columns (UP & DOWN),fatjet3_subjet1_phi
Common columns (UP & DOWN),fatjet3_subjet1_pt
Common columns (UP & DOWN),fatjet3_subjet1_rawFactor
Common columns (UP & DOWN),fatjet3_subjet2_btagDeepB
Common columns (UP & DOWN),fatjet3_subjet2_eta
Common columns (UP & DOWN),fatjet3_subjet2_mass
Common columns (UP & DOWN),fatjet3_subjet2_phi
