mX,mY,2022,2023,2024,combined
950,125,0.210328,0.185126,0.837485,1.23294
950,150,0.190011,0.16798,0.854518,1.21251
950,170,0.209841,0.171563,0.910277,1.29168
950,200,0.222223,0.172529,0.902592,1.29734
950,250,0.24689,0.175438,1.01682,1.43915
950,300,0.218581,0.138844,1.73465,2.09208
950,350,0.219473,0.183467,2.09139,2.49433
950,400,0.224815,0.205789,1.99582,2.42642
950,450,0.272373,0.179251,1.8602,2.31183
950,500,0.268827,0.253617,1.47056,1.99301
950,550,0.294229,0.546536,1.45015,2.29091
950,600,0.324908,0.576964,1.69148,2.59335
950,650,0.499471,0.700257,1.91721,3.11694
950,700,1.0127,1.37259,1.64325,4.02854
950,800,0.874328,0.270288,2.36679,3.51141
1000,90,0.203048,0.164227,0.85328,1.22055
1000,95,0.192214,0.166318,0.93742,1.29595
1000,100,0.204482,0.167804,0.848682,1.22097
1000,125,0.204835,0.158164,0.914686,1.27769
1000,150,0.204482,0.189037,0.942766,1.33629
1000,170,0.213446,0.1804,0.91258,1.30643
1000,200,0.203048,0.156173,0.907344,1.26656
1000,250,0.220003,0.163714,0.953956,1.33767
1000,300,0.227144,0.176673,1.68237,2.08619
1000,350,0.207878,0.179049,1.9228,2.30973
1000,400,0.199954,0.18463,1.67171,2.0563
1000,450,0.231803,0.176509,1.47677,1.88508
1000,500,0.269984,0.224651,1.87498,2.36962
1000,550,0.273364,0.219256,1.79077,2.28339
1000,600,0.309294,0.213629,1.52142,2.04434
1000,650,1.39476,1.34522,1.56411,4.30409
1000,700,0.439986,1.31187,1.52898,3.28083
1000,800,0.627188,0.609148,4.1893,5.42563
