mX,mY,region,eff_Loose,eff_Medium,eff_Tight,missing_years
950,400,preselection,0.732143,0.488609,0.305626,
950,450,preselection,0.715700,0.468259,0.291999,
950,500,preselection,0.701057,0.450931,0.276806,
950,550,preselection,0.682829,0.433894,0.264363,
950,600,preselection,0.666048,0.419574,0.251054,
950,650,preselection,0.650731,0.405629,0.239997,
950,700,preselection,0.640825,0.399328,0.233218,
950,800,preselection,0.615553,0.372565,0.214151,
1000,90,preselection,0.877797,0.685544,0.501323,
1000,95,preselection,0.871676,0.676964,0.492152,
1000,100,preselection,0.862892,0.666576,0.478364,
1000,125,preselection,0.846199,0.638001,0.451891,
1000,150,preselection,0.835354,0.627701,0.441202,
1000,170,preselection,0.827840,0.615061,0.429391,
1000,200,preselection,0.808702,0.591342,0.405652,
1000,250,preselection,0.788893,0.559047,0.371053,
1000,300,preselection,0.769215,0.529991,0.344702,
1000,350,preselection,0.749625,0.505643,0.324384,
1000,400,preselection,0.727009,0.479855,0.299406,
1000,450,preselection,0.714277,0.467303,0.286872,
1000,500,preselection,0.693064,0.444063,0.271589,
1000,550,preselection,0.680084,0.433850,0.260479,
1000,600,preselection,0.665940,0.416922,0.248864,
1000,650,preselection,0.651964,0.406499,0.240498,
1000,700,preselection,0.633247,0.385098,0.226179,
1000,800,preselection,0.608770,0.369863,0.213106,
300,90,srbbgg,0.840676,0.652212,0.464151,
300,95,srbbgg,0.833484,0.648362,0.459898,
300,100,srbbgg,0.844791,0.662224,0.467945,
300,125,srbbgg,0.838828,0.654456,0.458946,
300,150,srbbgg,0.840623,0.659869,0.462615,
300,170,srbbgg,0.837815,0.655903,0.449338,
320,90,srbbgg,0.838117,0.647137,0.454927,
320,95,srbbgg,0.840244,0.652148,0.456540,
320,100,srbbgg,0.831050,0.643978,0.450145,
320,125,srbbgg,0.833400,0.647559,0.447489,
320,150,srbbgg,0.835274,0.654228,0.459541,
320,170,srbbgg,0.829628,0.641211,0.434808,
350,90,srbbgg,0.830310,0.635334,0.437880,
350,95,srbbgg,0.829214,0.640637,0.445470,
350,100,srbbgg,0.830030,0.632472,0.436241,
350,125,srbbgg,0.817391,0.627180,0.423221,
350,150,srbbgg,0.819878,0.619111,0.420400,
350,170,srbbgg,0.816548,0.620409,0.416697,
350,200,srbbgg,0.799469,0.607802,0.399913,2023:no-file
400,90,srbbgg,0.831291,0.636864,0.440308,
400,95,srbbgg,0.829418,0.631066,0.429671,
400,100,srbbgg,0.815424,0.616142,0.421491,
400,125,srbbgg,0.819425,0.613136,0.412248,
400,150,srbbgg,0.812651,0.610521,0.406787,
400,170,srbbgg,0.799824,0.593618,0.393236,
400,200,srbbgg,0.795249,0.587834,0.382104,
